training on [gpu(0)]
epoch 247, loss 0.0942, train acc 0.967, test acc 0.967, time 33.3 sec
epoch 248, loss 0.0933, train acc 0.967, test acc 0.968, time 33.3 sec
epoch 249, loss 0.0923, train acc 0.968, test acc 0.968, time 34.0 sec
epoch 250, loss 0.0917, train acc 0.968, test acc 0.969, time 33.4 sec
epoch 251, loss 0.0914, train acc 0.968, test acc 0.969, time 33.3 sec
epoch 252, loss 0.0929, train acc 0.967, test acc 0.968, time 33.5 sec
epoch 253, loss 0.0908, train acc 0.968, test acc 0.969, time 33.3 sec
epoch 254, loss 0.0911, train acc 0.968, test acc 0.969, time 33.2 sec
epoch 255, loss 0.0908, train acc 0.968, test acc 0.969, time 33.4 sec
epoch 256, loss 0.0908, train acc 0.968, test acc 0.968, time 33.3 sec
epoch 257, loss 0.0913, train acc 0.968, test acc 0.969, time 33.4 sec
epoch 258, loss 0.0903, train acc 0.968, test acc 0.969, time 33.2 sec
epoch 259, loss 0.0918, train acc 0.968, test acc 0.969, time 33.4 sec
epoch 260, loss 0.0903, train acc 0.968, test acc 0.964, time 33.6 sec
epoch 261, loss 0.0920, train acc 0.968, test acc 0.969, time 33.5 sec
epoch 262, loss 0.0900, train acc 0.969, test acc 0.969, time 33.2 sec
epoch 263, loss 0.0920, train acc 0.968, test acc 0.969, time 33.3 sec
epoch 264, loss 0.0902, train acc 0.968, test acc 0.969, time 33.1 sec
epoch 265, loss 0.0898, train acc 0.969, test acc 0.968, time 33.2 sec
epoch 266, loss 0.0961, train acc 0.966, test acc 0.968, time 33.3 sec
epoch 267, loss 0.0898, train acc 0.969, test acc 0.969, time 33.2 sec
epoch 268, loss 0.0896, train acc 0.969, test acc 0.969, time 32.9 sec
epoch 269, loss 0.0894, train acc 0.969, test acc 0.969, time 32.9 sec
epoch 270, loss 0.0899, train acc 0.968, test acc 0.969, time 33.0 sec
epoch 271, loss 0.0897, train acc 0.969, test acc 0.969, time 32.8 sec
epoch 272, loss 0.0895, train acc 0.969, test acc 0.969, time 32.9 sec
epoch 273, loss 0.0890, train acc 0.969, test acc 0.969, time 33.0 sec
epoch 274, loss 0.0910, train acc 0.968, test acc 0.969, time 33.2 sec
epoch 275, loss 0.0889, train acc 0.969, test acc 0.969, time 32.9 sec
epoch 276, loss 0.0941, train acc 0.967, test acc 0.969, time 32.9 sec
epoch 277, loss 0.0890, train acc 0.969, test acc 0.969, time 32.9 sec
epoch 278, loss 0.0895, train acc 0.969, test acc 0.969, time 32.9 sec
epoch 279, loss 0.0923, train acc 0.967, test acc 0.969, time 32.8 sec
epoch 280, loss 0.0890, train acc 0.969, test acc 0.969, time 32.7 sec
epoch 281, loss 0.0891, train acc 0.969, test acc 0.969, time 33.1 sec
epoch 282, loss 0.0887, train acc 0.969, test acc 0.969, time 33.0 sec
epoch 283, loss 0.0887, train acc 0.969, test acc 0.970, time 33.1 sec
epoch 284, loss 0.0908, train acc 0.968, test acc 0.961, time 33.1 sec
epoch 285, loss 0.0894, train acc 0.968, test acc 0.970, time 33.0 sec
epoch 286, loss 0.0891, train acc 0.969, test acc 0.969, time 33.1 sec
